patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US64905A,1867-05-21,X  o x  x  o x ,"['X', 'o', 'x', 'x', 'o', 'x']","[('X', 'NN'), ('o', 'MD'), ('x', 'VB'), ('x', 'NNP'), ('o', 'PRP'), ('x', 'VBP')]",1,"['NOUN', 'SPACE', 'NOUN', 'SYM', 'SPACE', 'SYM', 'SPACE', 'NOUN', 'PUNCT']","['PERSON', 'PERSON']",0,1,9
US64910A,1867-05-21,Charles a ,"['Charles', 'a']","[('Charles', 'NNP'), ('a', 'DT')]",1,"['PROPN', 'PRON']",['PERSON'],1,1,2
US64911A,1867-05-21,Charles a ,"['Charles', 'a']","[('Charles', 'NNP'), ('a', 'DT')]",1,"['PROPN', 'PRON']",['PERSON'],1,1,2
US64913A,1867-05-21,John e ,"['John', 'e']","[('John', 'NNP'), ('e', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64929A,1867-05-21,Joseph woodruff ,"['Joseph', 'woodruff']","[('Joseph', 'NNP'), ('woodruff', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64933A,1867-05-21,William h ,"['William', 'h']","[('William', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64942A,1867-05-21,Charles bried ,"['Charles', 'bried']","[('Charles', 'NNP'), ('bried', 'VBD')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64943A,1867-05-21,Albert brown ,"['Albert', 'brown']","[('Albert', 'NNP'), ('brown', 'NN')]",1,"['PROPN', 'ADJ']",['PERSON'],1,1,2
US64950A,1867-05-21,Francis danzenbaker ,"['Francis', 'danzenbaker']","[('Francis', 'NNP'), ('danzenbaker', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64954A,1867-05-21,Henry disston ,"['Henry', 'disston']","[('Henry', 'NNP'), ('disston', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64958A,1867-05-21,Stephen w ,"['Stephen', 'w']","[('Stephen', 'NNP'), ('w', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64964A,1867-05-21,Thaddezjs fowler ,"['Thaddezjs', 'fowler']","[('Thaddezjs', 'NNP'), ('fowler', 'NN')]",1,"['ADV', 'ADJ']",['PERSON'],0,1,2
US64969A,1867-05-21,gaston ,['gaston'],"[('gaston', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US64970A,1867-05-21,graham ,['graham'],"[('graham', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US64974A,1867-05-21,Henry g ,"['Henry', 'g']","[('Henry', 'NNP'), ('g', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
