patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US71370A,1867-11-26,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US71374A,1867-11-26,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US71512A,1867-11-26,of cincinnati ,"['of', 'cincinnati']","[('of', 'IN'), ('cincinnati', 'NN')]",0,"['ADP', 'NOUN']",['GPE'],0,0,2,0,1
US71566A,1867-12-03,In lamps ,"['In', 'lamps']","[('In', 'IN'), ('lamps', 'NNS')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US71578A,1867-12-03,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US71671A,1867-12-03,And blias y ,"['And', 'blias', 'y']","[('And', 'CC'), ('blias', 'VB'), ('y', 'NN')]",0,"['CCONJ', 'VERB', 'PRON']",[],0,0,3,0,1
US71713A,1867-12-03,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US72243A,1867-12-17,of cincinnati ,"['of', 'cincinnati']","[('of', 'IN'), ('cincinnati', 'NN')]",0,"['ADP', 'NOUN']",['GPE'],0,0,2,0,1
US72318A,1867-12-17,To all whom it mat concern ,"['To', 'all', 'whom', 'it', 'mat', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('mat', 'VBZ'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'NOUN', 'NOUN']",[],0,0,6,0,1
US72332A,1867-12-17,of gales burg ,"['of', 'gales', 'burg']","[('of', 'IN'), ('gales', 'NNS'), ('burg', 'NNS')]",0,"['ADP', 'NOUN', 'NOUN']",[],0,0,3,0,1
US72442A,1867-12-24,And kevenue-stamps ,"['And', 'kevenue-stamps']","[('And', 'CC'), ('kevenue-stamps', 'NNS')]",0,"['CCONJ', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
