patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US1618813A,1927-02-22,Metal xwhs,"['Metal', 'xwhs']","[('Metal', 'NNP'), ('xwhs', 'NN')]","['NOUN', 'PROPN']",[],1,0,2
US1618843A,1925-04-16,Loom,['Loom'],"[('Loom', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618876A,1926-04-27,Muffler,['Muffler'],"[('Muffler', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618891A,1926-03-19,Mop,['Mop'],"[('Mop', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618892A,1926-03-11,Fife,['Fife'],"[('Fife', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618912A,1923-12-26,Press,['Press'],"[('Press', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618914A,1926-03-15,Hoist,['Hoist'],"[('Hoist', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618930A,1926-04-15,Mop,['Mop'],"[('Mop', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618966A,1922-10-31,Bipod,['Bipod'],"[('Bipod', 'NN')]","['PROPN', 'SPACE']",['ORG'],1,0,2
US1618967A,1925-09-14,Rheostat,['Rheostat'],"[('Rheostat', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618991A,1925-11-12,Undergarment,['Undergarment'],"[('Undergarment', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618992A,1925-06-23,Kettle,['Kettle'],"[('Kettle', 'NNP')]","['PROPN', 'SPACE']",[],1,0,2
US1619000A,1924-12-05,Tackle,['Tackle'],"[('Tackle', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1619039A,1926-03-08,Brake,['Brake'],"[('Brake', 'VB')]","['PROPN', 'SPACE']",[],1,0,2
US1619040A,1924-10-30,Mop,['Mop'],"[('Mop', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1619046A,1923-04-09,Drum,['Drum'],"[('Drum', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1619074A,1923-11-24,Lubricant,['Lubricant'],"[('Lubricant', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
